label,rep,current_code
02-H1-X-R12-,1,ACWR
05-H1-X-R12-,1,BRMA
07-H1-X-R12-,1,CHGL
10-H1-X-R12-,1,CLPU
12-H1-X-R12-,1,EUSP
13-H1-X-R12-,1,FEMI
14-H1-X-R12-,1,HECO
15-H1-X-R12-,1,HOMU
16-H1-X-R12-,1,LACA
18-H1-X-R12-,1,MICA
19-H1-X-R12-,1,NAAT
20-H1-X-R12-,1,PLER
21-H1-X-R12-,1,SACO
23-H1-X-R12-,1,URLI
02-H2-X-R12-,1,ACWR
05-H2-X-R12-,1,BRMA
07-H2-X-R12-,1,CHGL
10-H2-X-R12-,1,CLPU
12-H2-X-R12-,1,EUSP
13-H2-X-R12-,1,FEMI
14-H2-X-R12-,1,HECO
15-H2-X-R12-,1,HOMU
16-H2-X-R12-,1,LACA
18-H2-X-R12-,1,MICA
19-H2-X-R12-,1,NAAT
20-H2-X-R12-,1,PLER
21-H2-X-R12-,1,SACO
23-H2-X-R12-,1,URLI
02-H3-X-R12-,1,ACWR
05-H3-X-R12-,1,BRMA
07-H3-X-R12-,1,CHGL
10-H3-X-R12-,1,CLPU
12-H3-X-R12-,1,EUSP
13-H3-X-R12-,1,FEMI
14-H3-X-R12-,1,HECO
15-H3-X-R12-,1,HOMU
16-H3-X-R12-,1,LACA
18-H3-X-R12-,1,MICA
19-H3-X-R12-,1,NAAT
20-H3-X-R12-,1,PLER
21-H3-X-R12-,1,SACO
23-H3-X-R12-,1,URLI
02-H4-X-R12-,1,ACWR
05-H4-X-R12-,1,BRMA
07-H4-X-R12-,1,CHGL
10-H4-X-R12-,1,CLPU
12-H4-X-R12-,1,EUSP
13-H4-X-R12-,1,FEMI
14-H4-X-R12-,1,HECO
15-H4-X-R12-,1,HOMU
16-H4-X-R12-,1,LACA
18-H4-X-R12-,1,MICA
19-H4-X-R12-,1,NAAT
20-H4-X-R12-,1,PLER
21-H4-X-R12-,1,SACO
23-H4-X-R12-,1,URLI
02-H1-X-R12-,2,ACWR
05-H1-X-R12-,2,BRMA
07-H1-X-R12-,2,CHGL
10-H1-X-R12-,2,CLPU
12-H1-X-R12-,2,EUSP
13-H1-X-R12-,2,FEMI
14-H1-X-R12-,2,HECO
15-H1-X-R12-,2,HOMU
16-H1-X-R12-,2,LACA
18-H1-X-R12-,2,MICA
19-H1-X-R12-,2,NAAT
20-H1-X-R12-,2,PLER
21-H1-X-R12-,2,SACO
23-H1-X-R12-,2,URLI
02-H2-X-R12-,2,ACWR
05-H2-X-R12-,2,BRMA
07-H2-X-R12-,2,CHGL
10-H2-X-R12-,2,CLPU
12-H2-X-R12-,2,EUSP
13-H2-X-R12-,2,FEMI
14-H2-X-R12-,2,HECO
15-H2-X-R12-,2,HOMU
16-H2-X-R12-,2,LACA
18-H2-X-R12-,2,MICA
19-H2-X-R12-,2,NAAT
20-H2-X-R12-,2,PLER
21-H2-X-R12-,2,SACO
23-H2-X-R12-,2,URLI
02-H3-X-R12-,2,ACWR
05-H3-X-R12-,2,BRMA
07-H3-X-R12-,2,CHGL
10-H3-X-R12-,2,CLPU
12-H3-X-R12-,2,EUSP
13-H3-X-R12-,2,FEMI
14-H3-X-R12-,2,HECO
15-H3-X-R12-,2,HOMU
16-H3-X-R12-,2,LACA
18-H3-X-R12-,2,MICA
19-H3-X-R12-,2,NAAT
20-H3-X-R12-,2,PLER
21-H3-X-R12-,2,SACO
23-H3-X-R12-,2,URLI
02-H4-X-R13-,2,ACWR
05-H4-X-R13-,2,BRMA
07-H4-X-R13-,2,CHGL
10-H4-X-R13-,2,CLPU
12-H4-X-R13-,2,EUSP
13-H4-X-R13-,2,FEMI
14-H4-X-R13-,2,HECO
15-H4-X-R13-,2,HOMU
16-H4-X-R13-,2,LACA
18-H4-X-R13-,2,MICA
19-H4-X-R13-,2,NAAT
20-H4-X-R13-,2,PLER
21-H4-X-R13-,2,SACO
23-H4-X-R13-,2,URLI
02-H1-X-R13-,3,ACWR
05-H1-X-R13-,3,BRMA
07-H1-X-R13-,3,CHGL
10-H1-X-R13-,3,CLPU
12-H1-X-R13-,3,EUSP
13-H1-X-R13-,3,FEMI
14-H1-X-R13-,3,HECO
15-H1-X-R13-,3,HOMU
16-H1-X-R13-,3,LACA
18-H1-X-R13-,3,MICA
19-H1-X-R13-,3,NAAT
20-H1-X-R13-,3,PLER
21-H1-X-R13-,3,SACO
23-H1-X-R13-,3,URLI
02-H2-X-R13-,3,ACWR
05-H2-X-R13-,3,BRMA
07-H2-X-R13-,3,CHGL
10-H2-X-R13-,3,CLPU
12-H2-X-R13-,3,EUSP
13-H2-X-R13-,3,FEMI
14-H2-X-R13-,3,HECO
15-H2-X-R13-,3,HOMU
16-H2-X-R13-,3,LACA
18-H2-X-R13-,3,MICA
19-H2-X-R13-,3,NAAT
20-H2-X-R13-,3,PLER
21-H2-X-R13-,3,SACO
23-H2-X-R13-,3,URLI
02-H3-X-R13-,3,ACWR
05-H3-X-R13-,3,BRMA
07-H3-X-R13-,3,CHGL
10-H3-X-R13-,3,CLPU
12-H3-X-R13-,3,EUSP
13-H3-X-R13-,3,FEMI
14-H3-X-R13-,3,HECO
15-H3-X-R13-,3,HOMU
16-H3-X-R13-,3,LACA
18-H3-X-R13-,3,MICA
19-H3-X-R13-,3,NAAT
20-H3-X-R13-,3,PLER
21-H3-X-R13-,3,SACO
23-H3-X-R13-,3,URLI
02-H4-X-R13-,3,ACWR
05-H4-X-R13-,3,BRMA
07-H4-X-R13-,3,CHGL
10-H4-X-R13-,3,CLPU
12-H4-X-R13-,3,EUSP
13-H4-X-R13-,3,FEMI
14-H4-X-R13-,3,HECO
15-H4-X-R13-,3,HOMU
16-H4-X-R13-,3,LACA
18-H4-X-R13-,3,MICA
19-H4-X-R13-,3,NAAT
20-H4-X-R13-,3,PLER
21-H4-X-R13-,3,SACO
23-H4-X-R13-,3,URLI
02-H1-X-R13-,4,ACWR
05-H1-X-R13-,4,BRMA
07-H1-X-R13-,4,CHGL
10-H1-X-R13-,4,CLPU
12-H1-X-R13-,4,EUSP
13-H1-X-R13-,4,FEMI
14-H1-X-R13-,4,HECO
15-H1-X-R13-,4,HOMU
16-H1-X-R13-,4,LACA
18-H1-X-R13-,4,MICA
19-H1-X-R13-,4,NAAT
20-H1-X-R13-,4,PLER
21-H1-X-R13-,4,SACO
23-H1-X-R13-,4,URLI
02-H2-X-R13-,4,ACWR
05-H2-X-R13-,4,BRMA
07-H2-X-R13-,4,CHGL
10-H2-X-R13-,4,CLPU
12-H2-X-R13-,4,EUSP
13-H2-X-R13-,4,FEMI
14-H2-X-R13-,4,HECO
15-H2-X-R13-,4,HOMU
16-H2-X-R13-,4,LACA
18-H2-X-R13-,4,MICA
19-H2-X-R13-,4,NAAT
20-H2-X-R13-,4,PLER
21-H2-X-R13-,4,SACO
23-H2-X-R13-,4,URLI
02-H3-X-R14-,4,ACWR
05-H3-X-R14-,4,BRMA
07-H3-X-R14-,4,CHGL
10-H3-X-R14-,4,CLPU
12-H3-X-R14-,4,EUSP
13-H3-X-R14-,4,FEMI
14-H3-X-R14-,4,HECO
15-H3-X-R14-,4,HOMU
16-H3-X-R14-,4,LACA
18-H3-X-R14-,4,MICA
19-H3-X-R14-,4,NAAT
20-H3-X-R14-,4,PLER
21-H3-X-R14-,4,SACO
23-H3-X-R14-,4,URLI
02-H4-X-R14-,4,ACWR
05-H4-X-R14-,4,BRMA
07-H4-X-R14-,4,CHGL
10-H4-X-R14-,4,CLPU
12-H4-X-R14-,4,EUSP
13-H4-X-R14-,4,FEMI
14-H4-X-R14-,4,HECO
15-H4-X-R14-,4,HOMU
16-H4-X-R14-,4,LACA
18-H4-X-R14-,4,MICA
19-H4-X-R14-,4,NAAT
20-H4-X-R14-,4,PLER
21-H4-X-R14-,4,SACO
23-H4-X-R14-,4,URLI
02-H1-X-R14-,5,ACWR
05-H1-X-R14-,5,BRMA
07-H1-X-R14-,5,CHGL
10-H1-X-R14-,5,CLPU
12-H1-X-R14-,5,EUSP
13-H1-X-R14-,5,FEMI
14-H1-X-R14-,5,HECO
15-H1-X-R14-,5,HOMU
16-H1-X-R14-,5,LACA
18-H1-X-R14-,5,MICA
19-H1-X-R14-,5,NAAT
20-H1-X-R14-,5,PLER
21-H1-X-R14-,5,SACO
23-H1-X-R14-,5,URLI
02-H2-X-R14-,5,ACWR
05-H2-X-R14-,5,BRMA
07-H2-X-R14-,5,CHGL
10-H2-X-R14-,5,CLPU
12-H2-X-R14-,5,EUSP
13-H2-X-R14-,5,FEMI
14-H2-X-R14-,5,HECO
15-H2-X-R14-,5,HOMU
16-H2-X-R14-,5,LACA
18-H2-X-R14-,5,MICA
19-H2-X-R14-,5,NAAT
20-H2-X-R14-,5,PLER
21-H2-X-R14-,5,SACO
23-H2-X-R14-,5,URLI
02-H3-X-R14-,5,ACWR
05-H3-X-R14-,5,BRMA
07-H3-X-R14-,5,CHGL
10-H3-X-R14-,5,CLPU
12-H3-X-R14-,5,EUSP
13-H3-X-R14-,5,FEMI
14-H3-X-R14-,5,HECO
15-H3-X-R14-,5,HOMU
16-H3-X-R14-,5,LACA
18-H3-X-R14-,5,MICA
19-H3-X-R14-,5,NAAT
20-H3-X-R14-,5,PLER
21-H3-X-R14-,5,SACO
23-H3-X-R14-,5,URLI
02-H4-X-R14-,5,ACWR
05-H4-X-R14-,5,BRMA
07-H4-X-R14-,5,CHGL
10-H4-X-R14-,5,CLPU
12-H4-X-R14-,5,EUSP
13-H4-X-R14-,5,FEMI
14-H4-X-R14-,5,HECO
15-H4-X-R14-,5,HOMU
16-H4-X-R14-,5,LACA
18-H4-X-R14-,5,MICA
19-H4-X-R14-,5,NAAT
20-H4-X-R14-,5,PLER
21-H4-X-R14-,5,SACO
23-H4-X-R14-,5,URLI
02-H1-X-R14-,6,ACWR
05-H1-X-R14-,6,BRMA
07-H1-X-R14-,6,CHGL
10-H1-X-R14-,6,CLPU
12-H1-X-R14-,6,EUSP
13-H1-X-R14-,6,FEMI
14-H1-X-R14-,6,HECO
15-H1-X-R14-,6,HOMU
16-H1-X-R14-,6,LACA
18-H1-X-R14-,6,MICA
19-H1-X-R14-,6,NAAT
20-H1-X-R14-,6,PLER
21-H1-X-R14-,6,SACO
23-H1-X-R14-,6,URLI
02-H2-X-R15-,6,ACWR
05-H2-X-R15-,6,BRMA
07-H2-X-R15-,6,CHGL
10-H2-X-R15-,6,CLPU
12-H2-X-R15-,6,EUSP
13-H2-X-R15-,6,FEMI
14-H2-X-R15-,6,HECO
15-H2-X-R15-,6,HOMU
16-H2-X-R15-,6,LACA
18-H2-X-R15-,6,MICA
19-H2-X-R15-,6,NAAT
20-H2-X-R15-,6,PLER
21-H2-X-R15-,6,SACO
23-H2-X-R15-,6,URLI
02-H3-X-R15-,6,ACWR
05-H3-X-R15-,6,BRMA
07-H3-X-R15-,6,CHGL
10-H3-X-R15-,6,CLPU
12-H3-X-R15-,6,EUSP
13-H3-X-R15-,6,FEMI
14-H3-X-R15-,6,HECO
15-H3-X-R15-,6,HOMU
16-H3-X-R15-,6,LACA
18-H3-X-R15-,6,MICA
19-H3-X-R15-,6,NAAT
20-H3-X-R15-,6,PLER
21-H3-X-R15-,6,SACO
23-H3-X-R15-,6,URLI
02-H4-X-R15-,6,ACWR
05-H4-X-R15-,6,BRMA
07-H4-X-R15-,6,CHGL
10-H4-X-R15-,6,CLPU
12-H4-X-R15-,6,EUSP
13-H4-X-R15-,6,FEMI
14-H4-X-R15-,6,HECO
15-H4-X-R15-,6,HOMU
16-H4-X-R15-,6,LACA
18-H4-X-R15-,6,MICA
19-H4-X-R15-,6,NAAT
20-H4-X-R15-,6,PLER
21-H4-X-R15-,6,SACO
23-H4-X-R15-,6,URLI
02-H1-X-R15-,7,ACWR
05-H1-X-R15-,7,BRMA
07-H1-X-R15-,7,CHGL
10-H1-X-R15-,7,CLPU
12-H1-X-R15-,7,EUSP
13-H1-X-R15-,7,FEMI
14-H1-X-R15-,7,HECO
15-H1-X-R15-,7,HOMU
16-H1-X-R15-,7,LACA
18-H1-X-R15-,7,MICA
19-H1-X-R15-,7,NAAT
20-H1-X-R15-,7,PLER
21-H1-X-R15-,7,SACO
23-H1-X-R15-,7,URLI
02-H2-X-R15-,7,ACWR
05-H2-X-R15-,7,BRMA
07-H2-X-R15-,7,CHGL
10-H2-X-R15-,7,CLPU
12-H2-X-R15-,7,EUSP
13-H2-X-R15-,7,FEMI
14-H2-X-R15-,7,HECO
15-H2-X-R15-,7,HOMU
16-H2-X-R15-,7,LACA
18-H2-X-R15-,7,MICA
19-H2-X-R15-,7,NAAT
20-H2-X-R15-,7,PLER
21-H2-X-R15-,7,SACO
23-H2-X-R15-,7,URLI
02-H3-X-R15-,7,ACWR
05-H3-X-R15-,7,BRMA
07-H3-X-R15-,7,CHGL
10-H3-X-R15-,7,CLPU
12-H3-X-R15-,7,EUSP
13-H3-X-R15-,7,FEMI
14-H3-X-R15-,7,HECO
15-H3-X-R15-,7,HOMU
16-H3-X-R15-,7,LACA
18-H3-X-R15-,7,MICA
19-H3-X-R15-,7,NAAT
20-H3-X-R15-,7,PLER
21-H3-X-R15-,7,SACO
23-H3-X-R15-,7,URLI
02-H4-X-R15-,7,ACWR
05-H4-X-R15-,7,BRMA
07-H4-X-R15-,7,CHGL
10-H4-X-R15-,7,CLPU
12-H4-X-R15-,7,EUSP
13-H4-X-R15-,7,FEMI
14-H4-X-R15-,7,HECO
15-H4-X-R15-,7,HOMU
16-H4-X-R15-,7,LACA
18-H4-X-R15-,7,MICA
19-H4-X-R15-,7,NAAT
20-H4-X-R15-,7,PLER
21-H4-X-R15-,7,SACO
23-H4-X-R15-,7,URLI
02-H1-X-R16-,8,ACWR
05-H1-X-R16-,8,BRMA
07-H1-X-R16-,8,CHGL
10-H1-X-R16-,8,CLPU
12-H1-X-R16-,8,EUSP
13-H1-X-R16-,8,FEMI
14-H1-X-R16-,8,HECO
15-H1-X-R16-,8,HOMU
16-H1-X-R16-,8,LACA
18-H1-X-R16-,8,MICA
19-H1-X-R16-,8,NAAT
20-H1-X-R16-,8,PLER
21-H1-X-R16-,8,SACO
23-H1-X-R16-,8,URLI
02-H2-X-R16-,8,ACWR
05-H2-X-R16-,8,BRMA
07-H2-X-R16-,8,CHGL
10-H2-X-R16-,8,CLPU
12-H2-X-R16-,8,EUSP
13-H2-X-R16-,8,FEMI
14-H2-X-R16-,8,HECO
15-H2-X-R16-,8,HOMU
16-H2-X-R16-,8,LACA
18-H2-X-R16-,8,MICA
19-H2-X-R16-,8,NAAT
20-H2-X-R16-,8,PLER
21-H2-X-R16-,8,SACO
23-H2-X-R16-,8,URLI
02-H3-X-R16-,8,ACWR
05-H3-X-R16-,8,BRMA
07-H3-X-R16-,8,CHGL
10-H3-X-R16-,8,CLPU
12-H3-X-R16-,8,EUSP
13-H3-X-R16-,8,FEMI
14-H3-X-R16-,8,HECO
15-H3-X-R16-,8,HOMU
16-H3-X-R16-,8,LACA
18-H3-X-R16-,8,MICA
19-H3-X-R16-,8,NAAT
20-H3-X-R16-,8,PLER
21-H3-X-R16-,8,SACO
23-H3-X-R16-,8,URLI
02-H4-X-R16-,8,ACWR
05-H4-X-R16-,8,BRMA
07-H4-X-R16-,8,CHGL
10-H4-X-R16-,8,CLPU
12-H4-X-R16-,8,EUSP
13-H4-X-R16-,8,FEMI
14-H4-X-R16-,8,HECO
15-H4-X-R16-,8,HOMU
16-H4-X-R16-,8,LACA
18-H4-X-R16-,8,MICA
19-H4-X-R16-,8,NAAT
20-H4-X-R16-,8,PLER
21-H4-X-R16-,8,SACO
23-H4-X-R16-,8,URLI
02-H1-X-R16-,9,ACWR
05-H1-X-R16-,9,BRMA
07-H1-X-R16-,9,CHGL
10-H1-X-R16-,9,CLPU
12-H1-X-R16-,9,EUSP
13-H1-X-R16-,9,FEMI
14-H1-X-R16-,9,HECO
15-H1-X-R16-,9,HOMU
16-H1-X-R16-,9,LACA
18-H1-X-R16-,9,MICA
19-H1-X-R16-,9,NAAT
20-H1-X-R16-,9,PLER
21-H1-X-R16-,9,SACO
23-H1-X-R16-,9,URLI
02-H2-X-R16-,9,ACWR
05-H2-X-R16-,9,BRMA
07-H2-X-R16-,9,CHGL
10-H2-X-R16-,9,CLPU
12-H2-X-R16-,9,EUSP
13-H2-X-R16-,9,FEMI
14-H2-X-R16-,9,HECO
15-H2-X-R16-,9,HOMU
16-H2-X-R16-,9,LACA
18-H2-X-R16-,9,MICA
19-H2-X-R16-,9,NAAT
20-H2-X-R16-,9,PLER
21-H2-X-R16-,9,SACO
23-H2-X-R16-,9,URLI
02-H3-X-R16-,9,ACWR
05-H3-X-R16-,9,BRMA
07-H3-X-R16-,9,CHGL
10-H3-X-R16-,9,CLPU
12-H3-X-R16-,9,EUSP
13-H3-X-R16-,9,FEMI
14-H3-X-R16-,9,HECO
15-H3-X-R16-,9,HOMU
16-H3-X-R16-,9,LACA
18-H3-X-R16-,9,MICA
19-H3-X-R16-,9,NAAT
20-H3-X-R16-,9,PLER
21-H3-X-R16-,9,SACO
23-H3-X-R16-,9,URLI
02-H4-X-R17-,9,ACWR
05-H4-X-R17-,9,BRMA
07-H4-X-R17-,9,CHGL
10-H4-X-R17-,9,CLPU
12-H4-X-R17-,9,EUSP
13-H4-X-R17-,9,FEMI
14-H4-X-R17-,9,HECO
15-H4-X-R17-,9,HOMU
16-H4-X-R17-,9,LACA
18-H4-X-R17-,9,MICA
19-H4-X-R17-,9,NAAT
20-H4-X-R17-,9,PLER
21-H4-X-R17-,9,SACO
23-H4-X-R17-,9,URLI
02-H1-X-R17-,10,ACWR
05-H1-X-R17-,10,BRMA
07-H1-X-R17-,10,CHGL
10-H1-X-R17-,10,CLPU
12-H1-X-R17-,10,EUSP
13-H1-X-R17-,10,FEMI
14-H1-X-R17-,10,HECO
15-H1-X-R17-,10,HOMU
16-H1-X-R17-,10,LACA
18-H1-X-R17-,10,MICA
19-H1-X-R17-,10,NAAT
20-H1-X-R17-,10,PLER
21-H1-X-R17-,10,SACO
23-H1-X-R17-,10,URLI
02-H2-X-R17-,10,ACWR
05-H2-X-R17-,10,BRMA
07-H2-X-R17-,10,CHGL
10-H2-X-R17-,10,CLPU
12-H2-X-R17-,10,EUSP
13-H2-X-R17-,10,FEMI
14-H2-X-R17-,10,HECO
15-H2-X-R17-,10,HOMU
16-H2-X-R17-,10,LACA
18-H2-X-R17-,10,MICA
19-H2-X-R17-,10,NAAT
20-H2-X-R17-,10,PLER
21-H2-X-R17-,10,SACO
23-H2-X-R17-,10,URLI
02-H3-X-R17-,10,ACWR
05-H3-X-R17-,10,BRMA
07-H3-X-R17-,10,CHGL
10-H3-X-R17-,10,CLPU
12-H3-X-R17-,10,EUSP
13-H3-X-R17-,10,FEMI
14-H3-X-R17-,10,HECO
15-H3-X-R17-,10,HOMU
16-H3-X-R17-,10,LACA
18-H3-X-R17-,10,MICA
19-H3-X-R17-,10,NAAT
20-H3-X-R17-,10,PLER
21-H3-X-R17-,10,SACO
23-H3-X-R17-,10,URLI
02-H4-X-R17-,10,ACWR
05-H4-X-R17-,10,BRMA
07-H4-X-R17-,10,CHGL
10-H4-X-R17-,10,CLPU
12-H4-X-R17-,10,EUSP
13-H4-X-R17-,10,FEMI
14-H4-X-R17-,10,HECO
15-H4-X-R17-,10,HOMU
16-H4-X-R17-,10,LACA
18-H4-X-R17-,10,MICA
19-H4-X-R17-,10,NAAT
20-H4-X-R17-,10,PLER
21-H4-X-R17-,10,SACO
23-H4-X-R17-,10,URLI
